areaCode,areaName,areaType,date,hospitalCases
K02000001,United Kingdom,overview,2023-07-12,1325
K02000001,United Kingdom,overview,2023-07-11,1146
K02000001,United Kingdom,overview,2023-07-10,1148
K02000001,United Kingdom,overview,2023-07-09,1154
K02000001,United Kingdom,overview,2023-07-08,1154
K02000001,United Kingdom,overview,2023-07-07,1140
K02000001,United Kingdom,overview,2023-07-06,1143
K02000001,United Kingdom,overview,2023-07-05,1315
K02000001,United Kingdom,overview,2023-07-04,1206
K02000001,United Kingdom,overview,2023-07-03,1205
K02000001,United Kingdom,overview,2023-07-02,1230
K02000001,United Kingdom,overview,2023-07-01,1239
K02000001,United Kingdom,overview,2023-06-30,1269
K02000001,United Kingdom,overview,2023-06-29,1331
K02000001,United Kingdom,overview,2023-06-28,1574
K02000001,United Kingdom,overview,2023-06-27,1436
K02000001,United Kingdom,overview,2023-06-26,1489
K02000001,United Kingdom,overview,2023-06-25,1490
K02000001,United Kingdom,overview,2023-06-24,1543
K02000001,United Kingdom,overview,2023-06-23,1596
K02000001,United Kingdom,overview,2023-06-22,1738
K02000001,United Kingdom,overview,2023-06-21,1990
K02000001,United Kingdom,overview,2023-06-20,1896
K02000001,United Kingdom,overview,2023-06-19,1997
K02000001,United Kingdom,overview,2023-06-18,2021
K02000001,United Kingdom,overview,2023-06-17,2090
K02000001,United Kingdom,overview,2023-06-16,2172
K02000001,United Kingdom,overview,2023-06-15,2234
K02000001,United Kingdom,overview,2023-06-14,2543
K02000001,United Kingdom,overview,2023-06-13,2343
K02000001,United Kingdom,overview,2023-06-12,2396
K02000001,United Kingdom,overview,2023-06-11,2364
K02000001,United Kingdom,overview,2023-06-10,2373
K02000001,United Kingdom,overview,2023-06-09,2438
K02000001,United Kingdom,overview,2023-06-08,2496
K02000001,United Kingdom,overview,2023-06-07,2728
K02000001,United Kingdom,overview,2023-06-06,2550
K02000001,United Kingdom,overview,2023-06-05,2608
K02000001,United Kingdom,overview,2023-06-04,2615
K02000001,United Kingdom,overview,2023-06-03,2599
K02000001,United Kingdom,overview,2023-06-02,2753
K02000001,United Kingdom,overview,2023-06-01,2771
K02000001,United Kingdom,overview,2023-05-31,3205
K02000001,United Kingdom,overview,2023-05-30,2950
K02000001,United Kingdom,overview,2023-05-29,3014
K02000001,United Kingdom,overview,2023-05-28,2949
K02000001,United Kingdom,overview,2023-05-27,3004
K02000001,United Kingdom,overview,2023-05-26,3177
K02000001,United Kingdom,overview,2023-05-25,3212
K02000001,United Kingdom,overview,2023-05-24,3580
K02000001,United Kingdom,overview,2023-05-23,3324
K02000001,United Kingdom,overview,2023-05-22,3318
K02000001,United Kingdom,overview,2023-05-21,3400
K02000001,United Kingdom,overview,2023-05-20,3445
K02000001,United Kingdom,overview,2023-05-19,3579
K02000001,United Kingdom,overview,2023-05-18,3701
K02000001,United Kingdom,overview,2023-05-17,4080
K02000001,United Kingdom,overview,2023-05-16,3890
K02000001,United Kingdom,overview,2023-05-15,3991
K02000001,United Kingdom,overview,2023-05-14,4083
K02000001,United Kingdom,overview,2023-05-13,4138
K02000001,United Kingdom,overview,2023-05-12,4237
K02000001,United Kingdom,overview,2023-05-11,4287
K02000001,United Kingdom,overview,2023-05-10,4825
K02000001,United Kingdom,overview,2023-05-09,4570
K02000001,United Kingdom,overview,2023-05-08,4887
K02000001,United Kingdom,overview,2023-05-07,4837
K02000001,United Kingdom,overview,2023-05-06,4877
K02000001,United Kingdom,overview,2023-05-05,5011
K02000001,United Kingdom,overview,2023-05-04,5121
K02000001,United Kingdom,overview,2023-05-03,5699
K02000001,United Kingdom,overview,2023-05-02,5385
K02000001,United Kingdom,overview,2023-05-01,5318
K02000001,United Kingdom,overview,2023-04-30,5282
K02000001,United Kingdom,overview,2023-04-29,5143
K02000001,United Kingdom,overview,2023-04-28,5424
K02000001,United Kingdom,overview,2023-04-27,5555
K02000001,United Kingdom,overview,2023-04-26,6153
K02000001,United Kingdom,overview,2023-04-25,5825
K02000001,United Kingdom,overview,2023-04-24,5978
K02000001,United Kingdom,overview,2023-04-23,5946
K02000001,United Kingdom,overview,2023-04-22,5964
K02000001,United Kingdom,overview,2023-04-21,6202
K02000001,United Kingdom,overview,2023-04-20,6467
K02000001,United Kingdom,overview,2023-04-19,7179
K02000001,United Kingdom,overview,2023-04-18,6749
K02000001,United Kingdom,overview,2023-04-17,6926
K02000001,United Kingdom,overview,2023-04-16,6928
K02000001,United Kingdom,overview,2023-04-15,6966
K02000001,United Kingdom,overview,2023-04-14,7205
K02000001,United Kingdom,overview,2023-04-13,7525
K02000001,United Kingdom,overview,2023-04-12,8201
K02000001,United Kingdom,overview,2023-04-11,7872
K02000001,United Kingdom,overview,2023-04-10,8324
K02000001,United Kingdom,overview,2023-04-09,7646
K02000001,United Kingdom,overview,2023-04-08,7726
K02000001,United Kingdom,overview,2023-04-07,7879
K02000001,United Kingdom,overview,2023-04-06,8113
K02000001,United Kingdom,overview,2023-04-05,8864
K02000001,United Kingdom,overview,2023-04-04,8816
K02000001,United Kingdom,overview,2023-04-03,8943
K02000001,United Kingdom,overview,2023-04-02,8908
K02000001,United Kingdom,overview,2023-04-01,8867
K02000001,United Kingdom,overview,2023-03-31,9146
K02000001,United Kingdom,overview,2023-03-30,9163
